frame,car_count,bus_count,truck_count,density
0,4,1,0,0.012295686652165993
1,10,1,0,0.025450920492661636
2,1,0,0,0.0017203642111228504
3,8,0,0,0.025386106881670895
4,10,1,0,0.05106252373965415
5,1,1,1,0.012959732200720787
6,4,0,1,0.01622280880505396
7,3,2,0,0.0246949702018389
8,5,3,0,0.03428071064280596
9,5,2,1,0.02302786436026778
10,5,0,0,0.018020704029513133
11,3,2,1,0.01610315057880615
12,3,1,0,0.01867426062557188
13,9,1,0,0.03559116689291504
14,3,0,0,0.0024427332990820073
15,6,0,0,0.012722984855120748
16,2,0,0,0.0036355529511476765
17,7,0,0,0.018316078246984776
18,6,4,0,0.0307713321738912
19,8,2,0,0.018560111319513656
20,3,0,0,0.0032387957274558074
21,12,1,0,0.028007666586962854
22,6,1,0,0.01511227815179289
23,6,0,0,0.01485721675405296
24,7,0,1,0.015576691233360224
25,6,1,0,0.02068871900135828
26,4,1,0,0.015932702692629794
27,9,1,1,0.04422993525001318
28,3,0,0,0.004726482883399714
29,6,0,0,0.011563201335547665
30,7,0,1,0.022230210347036036
31,6,0,0,0.021295782777029492
32,3,0,0,0.005633443595175373
33,2,0,0,0.01205510709214852
34,2,0,0,0.006570350131484399
35,4,0,0,0.0064694341970104605
36,2,1,0,0.008789202492140854
37,6,1,1,0.01820627317723892
38,3,1,0,0.008627002394566295
39,9,1,0,0.029373282295769226
40,4,0,0,0.008202202616084833
41,5,0,0,0.010845326665043507
42,10,0,0,0.024993210740296354
43,10,1,0,0.02425215893296775
44,7,1,1,0.01817724081191079
45,5,0,0,0.010126759922794817
46,10,0,0,0.03279399127587331
47,8,0,0,0.01811682453808047
48,4,0,0,0.01355484820519192
49,2,1,0,0.010957278453796689
50,4,1,0,0.021753047417934997
51,9,1,0,0.034707473452127255
52,4,1,1,0.02311163221677513
53,6,0,0,0.014989378938437397
54,3,0,0,0.004627653170607152
55,2,1,1,0.012812096739340901
56,3,0,0,0.004518175962689889
57,5,0,0,0.006582042487576405
58,5,1,0,0.014826383338626733
59,8,0,0,0.010556042055551962
60,7,0,1,0.019026086871382613
61,3,0,0,0.0047120209732101
62,5,0,0,0.01101489662573537
63,3,0,0,0.00934751133186553
64,2,0,0,0.0016347929681967484
65,7,2,0,0.03447341181084522
66,1,0,0,0.0013508718612784934
67,6,0,0,0.013654470185229002
68,5,1,0,0.023088650684881872
69,10,0,0,0.027100715189851514
70,4,0,0,0.008005195551393424
71,8,3,0,0.03191386523907613
72,6,0,0,0.007900296531246298
73,7,0,0,0.008103866785904645
74,4,0,0,0.00510375336582877
75,4,0,0,0.00678543282679949
76,4,0,0,0.009537343456618988
77,6,0,0,0.014637290341879296
78,7,0,0,0.022652829329454106
79,10,0,0,0.01298322437698651
80,3,0,0,0.0042483094498082345
81,5,0,0,0.019026478177418336
82,5,0,0,0.009972573009888745
83,5,0,0,0.014809645699323382
84,7,0,0,0.014501493052169584
85,7,0,0,0.012009649371579547
86,8,0,0,0.02088780584533298
87,6,0,0,0.012078040785978643
88,10,0,0,0.031057410242404635
89,8,1,0,0.025744517252309446
90,7,0,0,0.012892129744144049
91,12,1,1,0.055320236754376785
92,9,1,0,0.01605867924388332
93,7,2,0,0.032396161857910485
94,13,1,0,0.030535806457780975
95,5,1,1,0.016942713802192075
96,9,1,1,0.03139318664178804
97,10,0,0,0.026451604847877466
98,7,0,0,0.020949408755270134
99,8,1,0,0.014642243735505434
100,10,0,0,0.02048315099207954
101,11,2,1,0.04799677146458926
102,8,0,0,0.019269932197391797
103,5,0,0,0.011525597053868868
104,6,0,0,0.018694759547955825
105,8,0,1,0.021983907010997675
106,10,0,0,0.030149733818540015
107,5,0,0,0.010958726245994007
108,6,1,2,0.021241409263860492
109,2,0,0,0.001828810666532566
110,4,1,0,0.01570840053891718
111,6,0,0,0.016652950328720134
112,5,1,0,0.036859667617029995
113,8,0,0,0.01896911055658334
114,1,1,0,0.014013341123224821
115,9,0,0,0.020515666497475323
116,8,1,0,0.02750688820976741
117,6,0,0,0.01500353370508593
118,2,1,0,0.016449637981783814
119,4,0,0,0.009980312041186636
120,5,0,0,0.00946457449812442
121,2,0,0,0.0038593632442643867
122,3,0,0,0.007995819795727988
123,4,1,0,0.01883255527040159
124,7,0,0,0.0230522914376053
125,7,1,0,0.0326112456438877
126,3,1,0,0.015023727216430865
127,7,0,0,0.017901349402638045
128,6,1,0,0.022899195520878022
129,2,0,0,0.007220019208745927
130,7,0,0,0.01830900115914658
131,3,0,0,0.005327710047239196
132,3,0,0,0.016094919700025693
133,16,0,0,0.04936606366643586
134,4,0,0,0.011724213157280314
135,6,0,0,0.013933483931272079
136,10,0,0,0.023564390216829732
137,7,0,0,0.011166243028872284
138,11,0,0,0.026181462569822744
139,3,2,0,0.028529310461642497
140,10,1,0,0.03595389309428558
141,2,0,0,0.008513630136084329
142,5,1,0,0.01891585610845747
143,3,0,0,0.005335964602994931
144,7,0,0,0.011775075966204132
145,11,0,0,0.036497129378048956
146,4,1,0,0.019884973082051956
147,6,0,0,0.009846665435073607
148,7,1,0,0.02306943768517809
149,6,1,0,0.020270522099676724
150,7,0,0,0.020744132153222943
151,6,0,0,0.00926098559484402
152,11,0,0,0.032352005079008025
153,8,1,0,0.021878447518791762
154,4,0,0,0.009903719966320671
155,5,0,0,0.007686512911879819
156,9,1,0,0.018803734605069084
157,8,0,0,0.024685562463817878
158,8,0,0,0.019445416402889316
159,4,0,0,0.009860650179832226
160,6,0,0,0.012577387993493444
161,8,1,0,0.01794821025581993
162,8,0,0,0.016234971739095272
163,7,0,0,0.011739535772120925
164,15,1,0,0.04760562561432986
165,12,1,0,0.03604290478228466
166,9,1,0,0.025143567871884983
167,8,2,0,0.03580358767939321
168,5,0,0,0.009143801234364488
169,8,0,0,0.01729334847892898
170,6,0,0,0.022088467830624632
171,7,0,1,0.025702439073101692
172,6,2,1,0.029156863934521774
173,6,0,0,0.015767296003576594
174,6,1,0,0.024800875388871105
175,9,0,0,0.014052464446440241
176,8,0,0,0.018095282905005998
177,13,0,0,0.030855817487363647
178,12,0,0,0.022839760144521885
179,3,2,1,0.020811059530770528
180,8,2,0,0.02530807831022112
181,10,1,2,0.03450846319407127
182,10,1,0,0.032941841543514684
183,9,1,0,0.028878800232174668
184,1,0,0,0.0010335122563507563
185,3,0,0,0.005993636215970145
186,4,1,0,0.010238976272928454
187,3,1,0,0.014957526736672864
188,2,0,0,0.001963361199644472
189,1,0,0,0.0007443413402264317
190,4,1,0,0.01527665717362618
191,4,1,0,0.01106123731299131
192,0,1,0,0.003986610331027165
193,2,0,0,0.00744798252918473
194,5,1,0,0.015096567870830229
195,3,1,0,0.008657942713438792
196,2,1,0,0.008412801808372922
197,2,1,0,0.009341006567944229
198,0,1,0,0.0038482944549953877
199,0,0,0,0.0
200,4,1,0,0.011230259665753693
201,4,1,0,0.011831857289588596
202,1,1,0,0.004916774687449948
203,2,0,0,0.002815974456478014
204,4,2,0,0.017189727014113566
205,2,1,0,0.005002755158800735
206,4,1,0,0.009005093390048758
207,1,1,0,0.007300043771327991
208,1,1,0,0.00498684678432592
209,0,0,0,0.0
210,3,1,0,0.0066318810678785665
211,1,0,0,0.000995177049297598
212,4,0,0,0.010507704666341414
213,2,1,0,0.009162352749230598
214,2,1,0,0.008133415536585632
215,2,0,0,0.0036112664768653403
216,3,1,0,0.008333026742432224
217,3,1,0,0.009924716131278762
218,0,1,0,0.0039727835128239046
219,5,1,0,0.012002851505698076
220,0,1,0,0.004092695459926122
221,5,1,0,0.020518576301261353
222,6,1,0,0.015223538315826941
223,2,1,0,0.008093723074201045
224,1,1,0,0.004889457740915802
225,3,1,0,0.006222071466434971
226,9,0,0,0.019636774225064185
227,2,1,0,0.010108715339964772
228,2,1,0,0.00960669509707562
229,3,0,0,0.007109635372947612
230,3,0,0,0.005470189530487578
231,2,0,0,0.0019600150159223835
232,4,1,0,0.008358934673567462
233,1,0,0,0.0033607669963708355
234,2,0,0,0.01036309311643385
235,5,1,0,0.009023169142423688
236,4,1,0,0.010494047649068913
237,2,1,0,0.00591548184984411
238,3,1,0,0.009768160958390828
239,4,0,0,0.00418393834524775
240,4,1,0,0.009001469689420996
241,5,1,0,0.014767016942994052
242,2,1,0,0.007810402807760208
243,1,0,0,0.004520349496548685
244,3,1,0,0.010414866578037078
245,4,1,0,0.007086679355680072
246,1,1,0,0.004944766273802537
247,4,0,0,0.00888750820951019
248,4,1,0,0.013499103331543867
249,4,1,0,0.014071034657293542
250,6,1,0,0.018669346201892534
251,0,0,0,0.0
252,3,0,0,0.00953904940822179
253,4,1,0,0.009286813878096399
254,1,3,0,0.036115190824457834
255,2,0,0,0.008526910724004093
256,5,0,0,0.008708874900853347
257,1,2,0,0.008542839384312242
258,4,1,0,0.012522723367189799
259,5,0,0,0.005161031064376907
260,4,0,0,0.004335237102571193
261,4,0,0,0.011629253333343918
262,3,2,0,0.014199457418727423
263,2,1,0,0.010122579727397317
264,3,1,0,0.008420244456494941
265,2,0,0,0.002441644140473929
266,8,0,0,0.015164512597902339
267,5,0,0,0.008706540290537912
268,4,0,0,0.0036575877588602675
269,7,1,0,0.018216081303584764
270,5,1,0,0.011851159736147959
271,7,1,0,0.01412755208037764
272,4,0,0,0.015459767999251467
273,6,1,1,0.015918952961618306
274,10,1,1,0.024071106436384992
275,7,1,1,0.02294781340993386
276,9,1,1,0.035580867859163035
